date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:42	117646/117646	---M-Z	200	added ('OK')	text/html	etag:%221cb8e-5da2da4a3e995-gzip%22	https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/layouts-horizontal.html	(from )
22:27:43	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
22:27:44	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-5d9354009968f%22	https://themesbrand.com/skote-symfony/layouts/assets/images/favicon.ico	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/favicon.ico	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:45	220311/220311	---M-Z	200	added ('OK')	text/css	etag:%2235c97-5d93540080046-gzip%22	https://themesbrand.com/skote-symfony/layouts/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:46	88002/88002	---M-Z	200	added ('OK')	text/css	etag:%22157c2-5d9354007f0a6-gzip%22	https://themesbrand.com/skote-symfony/layouts/assets/css/app.min.css	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/css/app.min.css	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:46	110555/110555	---M-Z	200	added ('OK')	text/html	etag:%221afdb-5da2da4a3ca55-gzip%22	https://themesbrand.com/skote-symfony/layouts/index.html	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/index.html	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:46	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5d9354009a630%22	https://themesbrand.com/skote-symfony/layouts/assets/images/logo.svg	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/logo.svg	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:47	9668/9668	---M--	200	added ('OK')	image/png	etag:%2225c4-5d9354009a630%22	https://themesbrand.com/skote-symfony/layouts/assets/images/logo-dark.png	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:47	385276/385276	---MCZ	200	added ('OK')	text/css	etag:%225e0fc-5d93540080046-gzip%22	https://themesbrand.com/skote-symfony/layouts/assets/css/icons.min.css	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/css/icons.min.css	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
22:27:47	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5d9354009a630%22	https://themesbrand.com/skote-symfony/layouts/assets/images/logo-light.svg	C:/My%20Web%20Sites/Admin/themesbrand.com/skote-symfony/layouts/assets/images/logo-light.svg	(from https://themesbrand.com/skote-symfony/layouts/layouts-horizontal.html)
